,Job title,Job link,city,Seniority level,Employment type,Job function,Industries
40,Data Scientist/Sr. Data Scientist - Remote,https://www.linkedin.com/jobs/view/data-scientist-sr-data-scientist-remote-at-green-dot-corporation-3382557822?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=ysq0JEdp0Uh2CAXTl0lkFA%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card,United States,Mid-Senior level,Full-time,Engineering and Information Technology,"Software Development, Banking, and Financial Services"
41,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-parallel-consulting-3390097044?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=rrO1nrjhmP%2FO%2Fkc84OuL%2FQ%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card,"New York, NY",Mid-Senior level,Full-time,Engineering and Information Technology,Insurance
42,Machine Learning Engineer Intern,https://www.linkedin.com/jobs/view/machine-learning-engineer-intern-at-service-express-3399334545?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=9Kdb3NQnhz0whtTQ7PWHPw%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card,"Grand Rapids, MI",Internship,Full-time,Engineering and Information Technology,IT Services and IT Consulting
43,Data Science Analyst,https://www.linkedin.com/jobs/view/data-science-analyst-at-petram-search-group-3397769642?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=BDF59cbagcrlGHSvNGFQOw%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card,Atlanta Metropolitan Area,Associate,Full-time,Information Technology,Staffing and Recruiting
44,ML Engineer Internship - Evaluate,https://www.linkedin.com/jobs/view/ml-engineer-internship-evaluate-at-hugging-face-3392479388?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=iUWT7f1m%2B3ax%2FPheECHuCQ%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card,United States,Internship,Internship,Engineering and Information Technology,Software Development
45,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-smith-hanley-associates-3398091113?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=NZqWu7d%2BYp8Bf05USVFwrQ%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card,"Needham, MA",Mid-Senior level,Full-time,"Marketing, Analyst, and Consulting","Technology, Information and Internet, Manufacturing, and Retail"
46,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-atrium-3390226105?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=lqlAkZF3wxfV27PGYFXv6w%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card,United States,Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
47,Data Analytics/ML (Machine Learning/Data Science Intern),https://www.linkedin.com/jobs/view/data-analytics-ml-machine-learning-data-science-intern-at-billtrust-3391015020?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=G20toPEtmWUsJe4dgaCHdA%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card,"Atlanta, GA",Entry level,Internship,"Research, Analyst, and Information Technology","Technology, Information and Internet"
48,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-guidehouse-3383184797?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=tbXUMHRwKpz5JmW7X3i4Yw%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card,Greater Chicago Area,Not Applicable,Full-time,Engineering and Information Technology,Business Consulting and Services
49,"Data Analyst, Global Public Policy",https://www.linkedin.com/jobs/view/data-analyst-global-public-policy-at-netflix-3383206112?refId=GpHLPfDEX1TPa1sbgzmjJw%3D%3D&trackingId=VvLqCBunJ130AipW9%2F56%2FQ%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card,"Los Angeles, CA",Not Applicable,Full-time,Information Technology,"Movies, Videos, and Sound, Technology, Information and Internet, and Entertainment Providers"
